,application_id,appName,executor_Id,storage_memory,completedTasks_executors,totalDuration_executors(ms)
52,application_1545136550687_6108,MeasureSparkJob$ - historical - measure_config_2019_wi,1,19811696640,9827,27763361
53,application_1545136550687_6108,MeasureSparkJob$ - historical - measure_config_2019_wi,4,19811696640,9004,27211165
54,application_1545136550687_6108,MeasureSparkJob$ - historical - measure_config_2019_wi,6,19811696640,8110,27998634
55,application_1545136550687_6108,MeasureSparkJob$ - historical - measure_config_2019_wi,3,19811696640,8040,28161442
56,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,2,19844431872,1677,5392482
57,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,driver,7732101120,0,0
58,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,5,19844431872,1625,4183113
59,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,7,19844431872,759,2281679
60,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,4,19844431872,1681,4176408
61,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,6,19844431872,939,2426563
62,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,9,19844431872,343,968198
63,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,10,19844431872,0,0
64,application_1545136550687_6111,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,2,19844431872,1065,2892924
65,application_1545136550687_6111,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,driver,7732101120,0,0
66,application_1545136550687_6111,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,5,19811696640,280,845445
67,application_1545136550687_6111,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,8,19844431872,4,131039
68,application_1545136550687_6111,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,7,19844431872,13,46028
69,application_1545136550687_6111,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,1,19844431872,913,2316989
70,application_1545136550687_6111,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,4,19844431872,480,1379413
71,application_1545136550687_6111,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,6,19811696640,227,847886
72,application_1545136550687_6111,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,3,19844431872,510,1490442
73,application_1545136550687_6112,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,driver,7732101120,0,0
74,application_1545136550687_6112,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,1,19811696640,235,619899
75,application_1545136550687_6105,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,2,19811696640,0,0
76,application_1545136550687_6105,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,driver,7732101120,0,0
77,application_1545136550687_6105,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,5,19811696640,0,0
78,application_1545136550687_6105,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,1,19811696640,0,0
79,application_1545136550687_6105,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,4,19811696640,0,0
80,application_1545136550687_6105,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,6,19811696640,0,0
81,application_1545136550687_6105,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,3,19811696640,0,0
82,application_1545136550687_6059,RiskSparkJob$ - historical - measure_config_risk_2019_model,2,28670066688,8082,5400618
83,application_1545136550687_6059,RiskSparkJob$ - historical - measure_config_risk_2019_model,driver,543227904,0,0
84,application_1545136550687_6059,RiskSparkJob$ - historical - measure_config_risk_2019_model,5,28670066688,17241,10055548
85,application_1545136550687_6059,RiskSparkJob$ - historical - measure_config_risk_2019_model,7,28670066688,0,0
86,application_1545136550687_6059,RiskSparkJob$ - historical - measure_config_risk_2019_model,4,28670066688,9882,5764238
87,application_1545136550687_6059,RiskSparkJob$ - historical - measure_config_risk_2019_model,6,28670066688,7770,5455263
88,application_1545136550687_6059,RiskSparkJob$ - historical - measure_config_risk_2019_model,3,28670066688,17021,9276043
89,application_1545136550687_6058,RiskSparkJob$ - historical - measure_config_risk_2019_model,2,28670066688,4109,281424
90,application_1545136550687_6058,RiskSparkJob$ - historical - measure_config_risk_2019_model,driver,543227904,0,0
91,application_1545136550687_6058,RiskSparkJob$ - historical - measure_config_risk_2019_model,5,28670066688,4569,393392
92,application_1545136550687_6058,RiskSparkJob$ - historical - measure_config_risk_2019_model,1,28702801920,4515,265030
93,application_1545136550687_6058,RiskSparkJob$ - historical - measure_config_risk_2019_model,4,28670066688,4362,265944
94,application_1545136550687_6058,RiskSparkJob$ - historical - measure_config_risk_2019_model,6,28670066688,3810,270644
95,application_1545136550687_6058,RiskSparkJob$ - historical - measure_config_risk_2019_model,3,28670066688,4283,250729
96,application_1545136550687_6057,RiskSparkJob$ - historical - measure_config_risk_2019_model,2,28670066688,2,23409
97,application_1545136550687_6057,RiskSparkJob$ - historical - measure_config_risk_2019_model,driver,543227904,0,0
98,application_1545136550687_6057,RiskSparkJob$ - historical - measure_config_risk_2019_model,5,28670066688,4,23364
99,application_1545136550687_6057,RiskSparkJob$ - historical - measure_config_risk_2019_model,1,28670066688,0,0
100,application_1545136550687_6057,RiskSparkJob$ - historical - measure_config_risk_2019_model,4,28702801920,0,0
101,application_1545136550687_6057,RiskSparkJob$ - historical - measure_config_risk_2019_model,6,28670066688,0,23259
102,application_1545136550687_6057,RiskSparkJob$ - historical - measure_config_risk_2019_model,3,28670066688,0,23594
103,application_1545136550687_6038,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,2,19811696640,0,0
104,application_1545136550687_6038,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,driver,7732101120,0,0
105,application_1545136550687_6038,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,5,19811696640,0,0
106,application_1545136550687_6038,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,8,19811696640,0,0
107,application_1545136550687_6038,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,7,19811696640,0,0
108,application_1545136550687_6038,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,1,19811696640,0,0
109,application_1545136550687_6038,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,4,19811696640,0,0
110,application_1545136550687_6038,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,6,19811696640,0,0
111,application_1545136550687_6038,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,3,19844431872,0,0
112,application_1545136550687_6035,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,2,19811696640,0,0
113,application_1545136550687_6035,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,driver,7732101120,0,0
114,application_1545136550687_6035,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,5,19811696640,0,0
115,application_1545136550687_6035,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,8,19811696640,0,0
116,application_1545136550687_6035,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,7,19811696640,0,0
117,application_1545136550687_6035,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,1,19844431872,0,0
118,application_1545136550687_6035,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,4,19811696640,0,0
119,application_1545136550687_6035,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,6,19811696640,0,0
120,application_1545136550687_6035,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,3,19811696640,0,0
121,application_1545136550687_6033,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,2,19811696640,0,0
122,application_1545136550687_6033,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,driver,7732101120,0,0
123,application_1545136550687_6033,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,5,19811696640,0,0
124,application_1545136550687_6033,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,8,19811696640,0,0
125,application_1545136550687_6033,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,7,19811696640,0,0
126,application_1545136550687_6033,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,1,19844431872,0,0
127,application_1545136550687_6033,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,4,19811696640,0,0
128,application_1545136550687_6033,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,6,19811696640,0,0
129,application_1545136550687_6033,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,3,19811696640,0,0
130,application_1545136550687_6028,DeduplicatorSparkJob$ - complete,2,23838228480,5157,29746690
131,application_1545136550687_6028,DeduplicatorSparkJob$ - complete,driver,15785164800,0,0
132,application_1545136550687_6028,DeduplicatorSparkJob$ - complete,5,23838228480,5125,29645769
133,application_1545136550687_6028,DeduplicatorSparkJob$ - complete,8,23838228480,5059,29870697
134,application_1545136550687_6028,DeduplicatorSparkJob$ - complete,7,23838228480,4413,29809336
135,application_1545136550687_6028,DeduplicatorSparkJob$ - complete,1,23870963712,7677,29865305
136,application_1545136550687_6028,DeduplicatorSparkJob$ - complete,4,23838228480,5129,29848655
137,application_1545136550687_6028,DeduplicatorSparkJob$ - complete,6,23838228480,5106,29716757
138,application_1545136550687_6028,DeduplicatorSparkJob$ - complete,3,23838228480,4403,29788677
139,application_1545136550687_6023,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,2,19811696640,682,7795394
140,application_1545136550687_6023,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,driver,11758632960,0,0
141,application_1545136550687_6023,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,5,19811696640,876,8500087
142,application_1545136550687_6023,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,1,19844431872,453,7237698
143,application_1545136550687_6023,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,4,19811696640,894,8572519
144,application_1545136550687_6023,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,6,19811696640,634,7813986
145,application_1545136550687_6023,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,3,19811696640,999,8460004
146,application_1545136550687_6022,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,2,19811696640,710,9471663
147,application_1545136550687_6022,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,driver,11758632960,0,0
148,application_1545136550687_6022,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,5,19811696640,874,9641597
149,application_1545136550687_6022,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,1,19844431872,416,8327464
150,application_1545136550687_6022,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,4,19811696640,980,9586897
151,application_1545136550687_6022,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,6,19811696640,685,9368227
152,application_1545136550687_6022,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,3,19811696640,873,9516685
153,application_1545136550687_6009,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,2,19811696640,3,1919
154,application_1545136550687_6009,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,driver,11758632960,0,0
155,application_1545136550687_6009,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,5,19811696640,3,1714
156,application_1545136550687_6009,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,1,19811696640,3,1847
157,application_1545136550687_6009,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,4,19811696640,3,1682
158,application_1545136550687_6009,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,6,19811696640,3,1911
159,application_1545136550687_6009,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,3,19811696640,3,3571
160,application_1545136550687_6008,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,2,19811696640,3,1777
161,application_1545136550687_6008,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,driver,11758632960,0,0
162,application_1545136550687_6008,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,5,19811696640,3,1837
163,application_1545136550687_6008,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,1,19811696640,3,1832
164,application_1545136550687_6008,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,4,19811696640,3,1759
165,application_1545136550687_6008,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,6,19811696640,3,1824
166,application_1545136550687_6008,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,3,19811696640,3,3562
167,application_1545136550687_6007,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,2,19811696640,3,3604
168,application_1545136550687_6007,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,driver,11758632960,0,0
169,application_1545136550687_6007,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,5,19811696640,3,1782
170,application_1545136550687_6007,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,1,19811696640,3,1916
171,application_1545136550687_6007,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,4,19811696640,3,1754
172,application_1545136550687_6007,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,6,19811696640,3,1770
173,application_1545136550687_6007,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,3,19811696640,3,1761
174,application_1545136550687_5999,DeduplicatorSparkJob$ - complete,2,23838228480,9,101904
175,application_1545136550687_5999,DeduplicatorSparkJob$ - complete,driver,15785164800,0,0
176,application_1545136550687_5999,DeduplicatorSparkJob$ - complete,5,23870963712,5,100805
177,application_1545136550687_5999,DeduplicatorSparkJob$ - complete,8,23838228480,8,3788
178,application_1545136550687_5999,DeduplicatorSparkJob$ - complete,7,23838228480,8,3442
179,application_1545136550687_5999,DeduplicatorSparkJob$ - complete,1,23838228480,9,107904
180,application_1545136550687_5999,DeduplicatorSparkJob$ - complete,4,23838228480,11,344711
181,application_1545136550687_5999,DeduplicatorSparkJob$ - complete,6,23838228480,9,441856
182,application_1545136550687_5999,DeduplicatorSparkJob$ - complete,3,23838228480,9,446677
183,application_1545136550687_5997,DeduplicatorSparkJob$ - complete,2,23838228480,8,3796
184,application_1545136550687_5997,DeduplicatorSparkJob$ - complete,driver,15785164800,0,0
185,application_1545136550687_5997,DeduplicatorSparkJob$ - complete,5,23838228480,8,4040
186,application_1545136550687_5997,DeduplicatorSparkJob$ - complete,8,23838228480,13,446069
187,application_1545136550687_5997,DeduplicatorSparkJob$ - complete,7,23838228480,9,445102
188,application_1545136550687_5997,DeduplicatorSparkJob$ - complete,1,23838228480,9,446726
189,application_1545136550687_5997,DeduplicatorSparkJob$ - complete,4,23838228480,9,444818
190,application_1545136550687_5997,DeduplicatorSparkJob$ - complete,6,23838228480,8,3752
191,application_1545136550687_5997,DeduplicatorSparkJob$ - complete,3,23838228480,9,103544
192,application_1545136550687_5992,DeduplicatorSparkJob$ - complete,2,23838228480,13,439644
193,application_1545136550687_5992,DeduplicatorSparkJob$ - complete,driver,15785164800,0,0
194,application_1545136550687_5992,DeduplicatorSparkJob$ - complete,5,23870963712,9,100403
195,application_1545136550687_5992,DeduplicatorSparkJob$ - complete,8,23838228480,4,2545
196,application_1545136550687_5992,DeduplicatorSparkJob$ - complete,7,23838228480,9,102630
197,application_1545136550687_5992,DeduplicatorSparkJob$ - complete,1,23838228480,9,439440
198,application_1545136550687_5992,DeduplicatorSparkJob$ - complete,4,23838228480,9,101003
199,application_1545136550687_5992,DeduplicatorSparkJob$ - complete,6,23838228480,8,4004
200,application_1545136550687_5992,DeduplicatorSparkJob$ - complete,3,23838228480,8,3439
201,application_1545136550687_5990,DeduplicatorSparkJob$ - complete,2,23838228480,9,102732
202,application_1545136550687_5990,DeduplicatorSparkJob$ - complete,driver,15785164800,0,0
203,application_1545136550687_5990,DeduplicatorSparkJob$ - complete,5,23838228480,12,432594
204,application_1545136550687_5990,DeduplicatorSparkJob$ - complete,8,23838228480,5,101086
205,application_1545136550687_5990,DeduplicatorSparkJob$ - complete,7,23838228480,9,96667
206,application_1545136550687_5990,DeduplicatorSparkJob$ - complete,1,23870963712,9,99674
207,application_1545136550687_5990,DeduplicatorSparkJob$ - complete,4,23838228480,8,4263
208,application_1545136550687_5990,DeduplicatorSparkJob$ - complete,6,23838228480,8,4269
209,application_1545136550687_5990,DeduplicatorSparkJob$ - complete,3,23838228480,8,4548
210,application_1545136550687_5958,DeduplicatorSparkJob$ - complete,2,23838228480,9,98575
211,application_1545136550687_5958,DeduplicatorSparkJob$ - complete,driver,15785164800,0,0
212,application_1545136550687_5958,DeduplicatorSparkJob$ - complete,5,23838228480,12,434646
213,application_1545136550687_5958,DeduplicatorSparkJob$ - complete,8,23838228480,9,104211
214,application_1545136550687_5958,DeduplicatorSparkJob$ - complete,7,23838228480,9,104614
215,application_1545136550687_5958,DeduplicatorSparkJob$ - complete,1,23838228480,9,101197
216,application_1545136550687_5958,DeduplicatorSparkJob$ - complete,4,23838228480,8,3903
217,application_1545136550687_5958,DeduplicatorSparkJob$ - complete,6,23838228480,8,3986
218,application_1545136550687_5958,DeduplicatorSparkJob$ - complete,3,23870963712,8,5181
219,application_1545136550687_5956,DeduplicatorSparkJob$ - complete,2,23838228480,8,4345
220,application_1545136550687_5956,DeduplicatorSparkJob$ - complete,driver,15785164800,0,0
221,application_1545136550687_5956,DeduplicatorSparkJob$ - complete,5,23838228480,13,446264
222,application_1545136550687_5956,DeduplicatorSparkJob$ - complete,8,23838228480,9,110218
223,application_1545136550687_5956,DeduplicatorSparkJob$ - complete,7,23838228480,9,109143
224,application_1545136550687_5956,DeduplicatorSparkJob$ - complete,1,23870963712,8,3988
225,application_1545136550687_5956,DeduplicatorSparkJob$ - complete,4,23838228480,9,129393
226,application_1545136550687_5956,DeduplicatorSparkJob$ - complete,6,23838228480,9,126933
227,application_1545136550687_5956,DeduplicatorSparkJob$ - complete,3,23838228480,8,3865
228,application_1545136550687_5885,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,2,19811696640,726,9130777
229,application_1545136550687_5885,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,driver,11758632960,0,0
230,application_1545136550687_5885,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,5,19811696640,984,9755027
231,application_1545136550687_5885,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,1,19844431872,433,8618856
232,application_1545136550687_5885,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,4,19811696640,853,9793218
233,application_1545136550687_5885,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,6,19811696640,704,9297665
234,application_1545136550687_5885,MeasureSparkJob$ - historical - measure_config_utilization_disney_2018,3,19811696640,838,9816022
235,application_1545136550687_5881,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,2,19811696640,613,7552953
236,application_1545136550687_5881,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,driver,11758632960,0,0
237,application_1545136550687_5881,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,5,19811696640,997,8174280
238,application_1545136550687_5881,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,1,19844431872,432,6789954
239,application_1545136550687_5881,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,4,19811696640,849,8373341
240,application_1545136550687_5881,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,6,19811696640,625,7493915
241,application_1545136550687_5881,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,3,19811696640,1022,8176520
242,application_1545136550687_5879,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,2,19844431872,470,6703387
243,application_1545136550687_5879,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,driver,11758632960,0,0
244,application_1545136550687_5879,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,5,19811696640,829,8057863
245,application_1545136550687_5879,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,1,19811696640,690,7366709
246,application_1545136550687_5879,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,4,19811696640,864,8090886
